task_id,condition,algo,recipe,score_number,score_field,filter_percent,retained_count,seed,filter_key,config_path,run_name,result_path
1,gaussian_zscore_score2,gaussian,zscore_linear,2,data_mi_learned_marginal,25,150,1,density_final_gaussian_zscore_score2_filter25pct,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_20260808/configs/gaussian_zscore_score2/filter25pct/seed1.json,bc_gmm_threading_d0_final_gaussian_zscore_score2_filter25pct_seed1,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_results_20260808/task_01.json
2,gaussian_zscore_score2,gaussian,zscore_linear,2,data_mi_learned_marginal,25,150,2,density_final_gaussian_zscore_score2_filter25pct,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_20260808/configs/gaussian_zscore_score2/filter25pct/seed2.json,bc_gmm_threading_d0_final_gaussian_zscore_score2_filter25pct_seed2,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_results_20260808/task_02.json
3,gaussian_zscore_score2,gaussian,zscore_linear,2,data_mi_learned_marginal,25,150,3,density_final_gaussian_zscore_score2_filter25pct,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_20260808/configs/gaussian_zscore_score2/filter25pct/seed3.json,bc_gmm_threading_d0_final_gaussian_zscore_score2_filter25pct_seed3,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_results_20260808/task_03.json
4,gaussian_zscore_score2,gaussian,zscore_linear,2,data_mi_learned_marginal,50,100,1,density_final_gaussian_zscore_score2_filter50pct,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_20260808/configs/gaussian_zscore_score2/filter50pct/seed1.json,bc_gmm_threading_d0_final_gaussian_zscore_score2_filter50pct_seed1,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_results_20260808/task_04.json
5,gaussian_zscore_score2,gaussian,zscore_linear,2,data_mi_learned_marginal,50,100,2,density_final_gaussian_zscore_score2_filter50pct,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_20260808/configs/gaussian_zscore_score2/filter50pct/seed2.json,bc_gmm_threading_d0_final_gaussian_zscore_score2_filter50pct_seed2,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_results_20260808/task_05.json
6,gaussian_zscore_score2,gaussian,zscore_linear,2,data_mi_learned_marginal,50,100,3,density_final_gaussian_zscore_score2_filter50pct,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_20260808/configs/gaussian_zscore_score2/filter50pct/seed3.json,bc_gmm_threading_d0_final_gaussian_zscore_score2_filter50pct_seed3,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_results_20260808/task_06.json
7,gaussian_zscore_score2,gaussian,zscore_linear,2,data_mi_learned_marginal,75,50,1,density_final_gaussian_zscore_score2_filter75pct,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_20260808/configs/gaussian_zscore_score2/filter75pct/seed1.json,bc_gmm_threading_d0_final_gaussian_zscore_score2_filter75pct_seed1,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_results_20260808/task_07.json
8,gaussian_zscore_score2,gaussian,zscore_linear,2,data_mi_learned_marginal,75,50,2,density_final_gaussian_zscore_score2_filter75pct,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_20260808/configs/gaussian_zscore_score2/filter75pct/seed2.json,bc_gmm_threading_d0_final_gaussian_zscore_score2_filter75pct_seed2,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_results_20260808/task_08.json
9,gaussian_zscore_score2,gaussian,zscore_linear,2,data_mi_learned_marginal,75,50,3,density_final_gaussian_zscore_score2_filter75pct,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_20260808/configs/gaussian_zscore_score2/filter75pct/seed3.json,bc_gmm_threading_d0_final_gaussian_zscore_score2_filter75pct_seed3,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_results_20260808/task_09.json
10,gaussian_robust_score2,gaussian,robust_scale_linear,2,data_mi_learned_marginal,25,150,1,density_final_gaussian_robust_score2_filter25pct,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_20260808/configs/gaussian_robust_score2/filter25pct/seed1.json,bc_gmm_threading_d0_final_gaussian_robust_score2_filter25pct_seed1,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_results_20260808/task_10.json
11,gaussian_robust_score2,gaussian,robust_scale_linear,2,data_mi_learned_marginal,25,150,2,density_final_gaussian_robust_score2_filter25pct,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_20260808/configs/gaussian_robust_score2/filter25pct/seed2.json,bc_gmm_threading_d0_final_gaussian_robust_score2_filter25pct_seed2,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_results_20260808/task_11.json
12,gaussian_robust_score2,gaussian,robust_scale_linear,2,data_mi_learned_marginal,25,150,3,density_final_gaussian_robust_score2_filter25pct,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_20260808/configs/gaussian_robust_score2/filter25pct/seed3.json,bc_gmm_threading_d0_final_gaussian_robust_score2_filter25pct_seed3,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_results_20260808/task_12.json
13,gaussian_robust_score2,gaussian,robust_scale_linear,2,data_mi_learned_marginal,50,100,1,density_final_gaussian_robust_score2_filter50pct,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_20260808/configs/gaussian_robust_score2/filter50pct/seed1.json,bc_gmm_threading_d0_final_gaussian_robust_score2_filter50pct_seed1,/iris/u/jasonyan/data/threading_d0_final_score_filtered_bc_results_20260808/task_13.json
