query_demo,query_frame,neighbor_rank,neighbor_demo,neighbor_frame,latent_distance
1,0,1,5,2,0.7472816705703735
1,0,2,5,3,0.8963577747344971
1,0,3,6,1,1.014132022857666
1,0,4,6,0,1.0945053100585938
1,0,5,5,4,1.0976715087890625
1,0,6,5,1,1.124542474746704
1,0,7,6,2,1.2242006063461304
1,0,8,5,0,1.2709797620773315
1,40,1,5,31,0.45024481415748596
1,40,2,5,32,0.4551071226596832
1,40,3,5,30,0.46336132287979126
1,40,4,5,33,0.46863263845443726
1,40,5,5,29,0.48773014545440674
1,40,6,5,34,0.497292160987854
1,40,7,5,35,0.5287262797355652
1,40,8,5,28,0.5346925854682922
1,80,1,2,81,1.4805686473846436
1,80,2,2,83,1.4839420318603516
1,80,3,2,82,1.4843111038208008
1,80,4,2,84,1.4869874715805054
1,80,5,2,80,1.4928888082504272
1,80,6,2,85,1.4999921321868896
1,80,7,2,79,1.5037815570831299
1,80,8,2,86,1.516572117805481
3,20,1,2,25,0.7346093654632568
3,20,2,2,23,0.7496340274810791
3,20,3,2,24,0.7558417320251465
3,20,4,2,27,0.7562271952629089
3,20,5,2,26,0.758141815662384
3,20,6,2,22,0.7755195498466492
3,20,7,2,28,0.7903991937637329
3,20,8,2,29,0.8021906018257141
3,60,1,5,45,0.8657242655754089
3,60,2,5,44,0.8663967847824097
3,60,3,5,46,0.8779556751251221
3,60,4,5,47,0.8786619305610657
3,60,5,5,43,0.8793817758560181
3,60,6,5,42,0.8860214948654175
3,60,7,5,48,0.8928248882293701
3,60,8,5,49,0.8973915576934814
