query_demo,query_frame,neighbor_rank,neighbor_demo,neighbor_frame,latent_distance
1,0,1,1,1,0.2283952236175537
1,0,2,5,2,0.7472816109657288
1,0,3,1,2,0.8225317001342773
1,0,4,5,3,0.8963578343391418
1,0,5,6,1,1.0141321420669556
1,0,6,1,3,1.0905863046646118
1,0,7,6,0,1.0945054292678833
1,0,8,5,4,1.097671627998352
1,40,1,1,39,0.05952928215265274
1,40,2,1,41,0.09956752508878708
1,40,3,1,38,0.11983240395784378
1,40,4,1,42,0.18756990134716034
1,40,5,1,37,0.20733296871185303
1,40,6,1,43,0.25645795464515686
1,40,7,1,36,0.2910114526748657
1,40,8,1,44,0.33476540446281433
1,80,1,1,81,0.13536103069782257
1,80,2,1,79,0.13773302733898163
1,80,3,1,78,0.23962785303592682
1,80,4,1,82,0.2403016984462738
1,80,5,1,83,0.331891268491745
1,80,6,1,77,0.3341124951839447
1,80,7,1,84,0.43681544065475464
1,80,8,1,76,0.4397796094417572
3,20,1,3,21,0.12137442082166672
3,20,2,3,19,0.12780503928661346
3,20,3,3,18,0.19907313585281372
3,20,4,3,22,0.25780200958251953
3,20,5,3,17,0.28184249997138977
3,20,6,3,16,0.3336865305900574
3,20,7,3,23,0.40942907333374023
3,20,8,3,15,0.42718392610549927
3,60,1,3,59,0.059101734310388565
3,60,2,3,61,0.07257972657680511
3,60,3,3,58,0.09412277489900589
3,60,4,3,62,0.13195960223674774
3,60,5,3,57,0.13821758329868317
3,60,6,3,63,0.16807207465171814
3,60,7,3,56,0.2102416306734085
3,60,8,3,64,0.2177686095237732
