dataset,ep_idx,label,note,updated_at,video
expert200,1,full,,2026-05-12T00:25:44,/Users/jasonyan/Desktop/demonstration-information/expert200/demo_1.mp4
expert200,2,full,,2026-05-12T00:26:38,/Users/jasonyan/Desktop/demonstration-information/expert200/demo_2.mp4
expert200,3,full,,2026-05-12T00:28:25,/Users/jasonyan/Desktop/demonstration-information/expert200/demo_3.mp4
square_mh,0,full,,2026-05-12T00:12:07,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0000.mp4
square_mh,1,partial,,2026-05-11T23:54:09,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0001.mp4
square_mh,2,partial,,2026-05-11T23:54:12,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0002.mp4
square_mh,3,partial,,2026-05-11T23:54:14,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0003.mp4
square_mh,4,full,,2026-05-11T23:54:16,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0004.mp4
square_mh,5,partial,,2026-05-11T23:54:17,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0005.mp4
square_mh,6,partial,,2026-05-11T23:54:18,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0006.mp4
square_mh,7,full,,2026-05-11T23:54:20,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0007.mp4
square_mh,8,partial,,2026-05-11T23:54:23,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0008.mp4
square_mh,9,full,,2026-05-11T23:54:26,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0009.mp4
square_mh,10,full,,2026-05-11T23:54:28,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0010.mp4
square_mh,11,full,,2026-05-11T23:54:30,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0011.mp4
square_mh,12,full,,2026-05-11T23:54:32,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0012.mp4
square_mh,13,full,,2026-05-11T23:54:34,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0013.mp4
square_mh,14,partial,,2026-05-11T23:54:36,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0014.mp4
square_mh,15,full,,2026-05-11T23:54:38,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0015.mp4
square_mh,16,full,,2026-05-11T23:54:40,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0016.mp4
square_mh,17,full,,2026-05-11T23:54:42,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0017.mp4
square_mh,18,partial,,2026-05-11T23:54:45,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0018.mp4
square_mh,19,full,,2026-05-11T23:54:48,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0019.mp4
square_mh,20,full,,2026-05-11T23:54:51,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0020.mp4
square_mh,21,partial,,2026-05-11T23:54:54,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0021.mp4
square_mh,22,partial,,2026-05-11T23:54:56,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0022.mp4
square_mh,23,partial,,2026-05-11T23:54:59,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0023.mp4
square_mh,24,full,,2026-05-11T23:55:01,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0024.mp4
square_mh,25,full,,2026-05-11T23:55:04,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0025.mp4
square_mh,26,partial,,2026-05-11T23:55:05,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0026.mp4
square_mh,27,full,,2026-05-11T23:55:07,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0027.mp4
square_mh,28,full,,2026-05-11T23:55:09,/Users/jasonyan/Desktop/demonstration-information/observability_annotation_app/videos/square_mh/demo_0028.mp4
