dataset,ep_idx,episode,observability,optimality,note,updated_at,videos
pen_in_cup,0,Sat_Jun__6_00:21:35_2026,full,better,,2026-06-08T15:12:55,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/000_Sat_Jun__6_00:21:35_2026.mp4""]"
pen_in_cup,1,Sat_Jun__6_00:22:00_2026,full,okay,,2026-06-08T15:23:07,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/001_Sat_Jun__6_00:22:00_2026.mp4""]"
pen_in_cup,2,Sat_Jun__6_00:24:52_2026,full,okay,,2026-06-08T15:25:15,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/002_Sat_Jun__6_00:24:52_2026.mp4""]"
pen_in_cup,3,Sat_Jun__6_00:25:51_2026,full,better,,2026-06-08T15:13:56,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/003_Sat_Jun__6_00:25:51_2026.mp4""]"
pen_in_cup,4,Sat_Jun__6_00:26:26_2026,full,okay,,2026-06-08T15:23:56,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/004_Sat_Jun__6_00:26:26_2026.mp4""]"
pen_in_cup,5,Sat_Jun__6_00:27:00_2026,full,better,,2026-06-08T15:14:24,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/005_Sat_Jun__6_00:27:00_2026.mp4""]"
pen_in_cup,6,Sat_Jun__6_00:27:37_2026,full,okay,,2026-06-08T15:26:18,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/006_Sat_Jun__6_00:27:37_2026.mp4""]"
pen_in_cup,7,Sat_Jun__6_00:28:54_2026,partial,okay,,2026-06-08T15:26:24,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/007_Sat_Jun__6_00:28:54_2026.mp4""]"
pen_in_cup,8,Sat_Jun__6_00:30:07_2026,partial,okay,,2026-06-08T15:26:59,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/008_Sat_Jun__6_00:30:07_2026.mp4""]"
pen_in_cup,9,Sat_Jun__6_00:31:28_2026,full,okay,,2026-06-08T15:16:04,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/009_Sat_Jun__6_00:31:28_2026.mp4""]"
pen_in_cup,10,Sat_Jun__6_00:33:10_2026,full,okay,,2026-06-08T15:27:22,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/010_Sat_Jun__6_00:33:10_2026.mp4""]"
pen_in_cup,11,Sat_Jun__6_00:33:46_2026,partial,okay,,2026-06-08T15:27:39,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/011_Sat_Jun__6_00:33:46_2026.mp4""]"
pen_in_cup,12,Sat_Jun__6_00:36:06_2026,partial,okay,,2026-06-08T15:27:47,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/012_Sat_Jun__6_00:36:06_2026.mp4""]"
pen_in_cup,13,Sat_Jun__6_00:36:56_2026,partial,okay,,2026-06-08T15:20:11,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/013_Sat_Jun__6_00:36:56_2026.mp4""]"
pen_in_cup,14,Sat_Jun__6_00:38:25_2026,partial,okay,,2026-06-08T15:20:43,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/014_Sat_Jun__6_00:38:25_2026.mp4""]"
pen_in_cup,15,Sat_Jun__6_00:40:08_2026,partial,okay,,2026-06-08T15:28:38,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/015_Sat_Jun__6_00:40:08_2026.mp4""]"
pen_in_cup,16,Sat_Jun__6_00:40:48_2026,partial,better,,2026-06-08T15:28:59,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/016_Sat_Jun__6_00:40:48_2026.mp4""]"
pen_in_cup,17,Sat_Jun__6_00:41:34_2026,full,better,,2026-06-08T15:21:47,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/017_Sat_Jun__6_00:41:34_2026.mp4""]"
pen_in_cup,18,Sat_Jun__6_00:43:08_2026,full,okay,,2026-06-08T15:29:23,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/018_Sat_Jun__6_00:43:08_2026.mp4""]"
pen_in_cup,19,Sat_Jun__6_00:45:14_2026,partial,okay,,2026-06-08T15:29:51,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/019_Sat_Jun__6_00:45:14_2026.mp4""]"
pen_in_cup,20,Sat_Jun__6_00:45:49_2026,partial,better,,2026-06-08T15:30:33,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/020_Sat_Jun__6_00:45:49_2026.mp4""]"
pen_in_cup,21,Sat_Jun__6_00:46:41_2026,full,okay,,2026-06-08T15:31:06,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/021_Sat_Jun__6_00:46:41_2026.mp4""]"
pen_in_cup,22,Sat_Jun__6_00:48:43_2026,partial,okay,,2026-06-08T15:31:28,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/022_Sat_Jun__6_00:48:43_2026.mp4""]"
pen_in_cup,23,Sat_Jun__6_00:49:23_2026,full,better,,2026-06-08T15:31:41,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/023_Sat_Jun__6_00:49:23_2026.mp4""]"
pen_in_cup,24,Sat_Jun__6_00:49:58_2026,partial,okay,,2026-06-08T15:32:10,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/024_Sat_Jun__6_00:49:58_2026.mp4""]"
pen_in_cup,25,Sat_Jun__6_00:50:37_2026,full,better,,2026-06-08T15:32:36,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/025_Sat_Jun__6_00:50:37_2026.mp4""]"
pen_in_cup,26,Sat_Jun__6_00:51:25_2026,full,better,,2026-06-08T15:32:53,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/026_Sat_Jun__6_00:51:25_2026.mp4""]"
pen_in_cup,27,Sat_Jun__6_00:52:38_2026,partial,better,,2026-06-08T15:33:02,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/027_Sat_Jun__6_00:52:38_2026.mp4""]"
pen_in_cup,28,Sat_Jun__6_00:53:09_2026,full,better,,2026-06-08T15:33:10,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/028_Sat_Jun__6_00:53:09_2026.mp4""]"
pen_in_cup,29,Sat_Jun__6_00:53:51_2026,full,better,,2026-06-08T15:33:19,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/029_Sat_Jun__6_00:53:51_2026.mp4""]"
pen_in_cup,30,Sat_Jun__6_00:55:09_2026,partial,better,,2026-06-08T15:33:36,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/030_Sat_Jun__6_00:55:09_2026.mp4""]"
pen_in_cup,31,Sat_Jun__6_00:55:46_2026,full,better,,2026-06-08T16:09:54,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/031_Sat_Jun__6_00:55:46_2026.mp4""]"
pen_in_cup,32,Sat_Jun__6_00:56:34_2026,full,better,,2026-06-08T16:12:44,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/032_Sat_Jun__6_00:56:34_2026.mp4""]"
pen_in_cup,33,Sat_Jun__6_00:57:50_2026,full,okay,,2026-06-08T16:12:57,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/033_Sat_Jun__6_00:57:50_2026.mp4""]"
pen_in_cup,34,Sat_Jun__6_00:58:43_2026,full,okay,,2026-06-08T16:13:02,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/034_Sat_Jun__6_00:58:43_2026.mp4""]"
pen_in_cup,35,Sat_Jun__6_00:59:39_2026,partial,okay,,2026-06-08T16:13:25,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/035_Sat_Jun__6_00:59:39_2026.mp4""]"
pen_in_cup,36,Sat_Jun__6_01:00:13_2026,full,okay,,2026-06-08T16:13:33,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/036_Sat_Jun__6_01:00:13_2026.mp4""]"
pen_in_cup,37,Sat_Jun__6_01:01:43_2026,full,okay,,2026-06-08T16:13:49,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/037_Sat_Jun__6_01:01:43_2026.mp4""]"
pen_in_cup,38,Sat_Jun__6_01:03:10_2026,full,better,,2026-06-08T16:13:54,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/038_Sat_Jun__6_01:03:10_2026.mp4""]"
pen_in_cup,39,Sat_Jun__6_01:03:49_2026,full,better,,2026-06-08T16:14:02,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/039_Sat_Jun__6_01:03:49_2026.mp4""]"
pen_in_cup,40,Sat_Jun__6_01:04:24_2026,full,better,,2026-06-08T16:14:06,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/040_Sat_Jun__6_01:04:24_2026.mp4""]"
pen_in_cup,41,Sat_Jun__6_01:04:59_2026,partial,better,,2026-06-08T16:14:12,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/041_Sat_Jun__6_01:04:59_2026.mp4""]"
pen_in_cup,42,Sat_Jun__6_01:07:40_2026,full,better,,2026-06-08T16:14:17,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/042_Sat_Jun__6_01:07:40_2026.mp4""]"
